node,type
VIC-3603,victim
VIC-3604,victim
VIC-3605,victim
VIC-3606,victim
ACC-02474,suspect
VIC-3607,victim
ACC-07056,suspect
VIC-3608,victim
ACC-02994,suspect
VIC-3609,victim
VIC-3610,victim
ACC-07132,suspect
VIC-3611,victim
ACC-07458,suspect
VIC-3612,victim
ACC-04031,suspect
VIC-3613,victim
VIC-3614,victim
VIC-3615,victim
ACC-05689,suspect
VIC-3616,victim
VIC-3617,victim
VIC-3618,victim
VIC-3619,victim
ACC-08310,suspect
VIC-3620,victim
VIC-3621,victim
ACC-08591,suspect
VIC-3622,victim
ACC-00857,suspect
VIC-3623,victim
ACC-04776,suspect
VIC-3624,victim
ACC-00179,suspect
VIC-3625,victim
ACC-02721,suspect
VIC-3626,victim
VIC-3627,victim
ACC-04192,suspect
VIC-3628,victim
VIC-3629,victim
ACC-05281,suspect
VIC-3630,victim
ACC-03269,suspect
VIC-3631,victim
VIC-3632,victim
ACC-05539,suspect
VIC-3633,victim
VIC-3634,victim
ACC-00110,suspect
VIC-3635,victim
ACC-04851,suspect
VIC-3636,victim
ACC-07253,suspect
VIC-3637,victim
ACC-03507,suspect
VIC-3638,victim
VIC-3639,victim
ACC-00229,suspect
VIC-3640,victim
ACC-07259,suspect
VIC-3641,victim
ACC-00279,suspect
VIC-3642,victim
ACC-02751,suspect
VIC-3643,victim
ACC-03435,suspect
VIC-3644,victim
ACC-07724,suspect
VIC-3645,victim
VIC-3646,victim
ACC-00396,suspect
VIC-3647,victim
ACC-07245,suspect
VIC-3648,victim
VIC-3649,victim
ACC-05243,suspect
VIC-3650,victim
VIC-3651,victim
VIC-3652,victim
ACC-00374,suspect
VIC-3653,victim
ACC-03845,suspect
VIC-3654,victim
ACC-08734,suspect
VIC-3655,victim
ACC-02191,suspect
VIC-3656,victim
VIC-3657,victim
ACC-05193,suspect
VIC-3658,victim
VIC-3659,victim
ACC-07457,suspect
VIC-3660,victim
VIC-3661,victim
ACC-02730,suspect
VIC-3662,victim
VIC-3663,victim
ACC-07598,suspect
VIC-3664,victim
VIC-3665,victim
VIC-3666,victim
VIC-3667,victim
ACC-03719,suspect
VIC-3668,victim
VIC-3669,victim
ACC-05870,suspect
VIC-3670,victim
ACC-01634,suspect
VIC-3671,victim
VIC-3672,victim
ACC-05893,suspect
VIC-3673,victim
ACC-04380,suspect
VIC-3674,victim
ACC-07621,suspect
VIC-3675,victim
ACC-06203,suspect
VIC-3676,victim
ACC-02026,suspect
VIC-3677,victim
VIC-3678,victim
VIC-3679,victim
ACC-03935,suspect
VIC-3680,victim
ACC-01860,suspect
VIC-3681,victim
VIC-3682,victim
ACC-01378,suspect
VIC-3683,victim
VIC-3684,victim
ACC-07237,suspect
VIC-3685,victim
ACC-00263,suspect
VIC-3686,victim
VIC-3687,victim
ACC-06348,suspect
VIC-3688,victim
ACC-06760,suspect
VIC-3689,victim
ACC-04907,suspect
VIC-3690,victim
ACC-06654,suspect
VIC-3691,victim
ACC-00628,suspect
VIC-3692,victim
VIC-3693,victim
ACC-01282,suspect
VIC-3694,victim
ACC-08056,suspect
VIC-3695,victim
ACC-04228,suspect
VIC-3696,victim
VIC-3697,victim
VIC-3698,victim
VIC-3699,victim
ACC-03873,suspect
VIC-3700,victim
ACC-06029,suspect
VIC-3701,victim
VIC-3702,victim
VIC-3703,victim
ACC-06960,suspect
VIC-3704,victim
VIC-3705,victim
VIC-3706,victim
ACC-04141,suspect
VIC-3707,victim
VIC-3708,victim
ACC-04671,suspect
VIC-3709,victim
ACC-08183,suspect
VIC-3710,victim
ACC-05971,suspect
VIC-3711,victim
ACC-05061,suspect
VIC-3712,victim
ACC-07957,suspect
VIC-3713,victim
VIC-3714,victim
ACC-08670,suspect
VIC-3715,victim
VIC-3716,victim
VIC-3717,victim
VIC-3718,victim
ACC-04469,suspect
VIC-3719,victim
VIC-3720,victim
ACC-07860,suspect
VIC-3721,victim
VIC-3722,victim
ACC-01623,suspect
VIC-3723,victim
VIC-3724,victim
ACC-02298,suspect
VIC-3725,victim
VIC-3726,victim
VIC-3727,victim
VIC-3728,victim
ACC-03088,suspect
VIC-3729,victim
ACC-06549,suspect
VIC-3730,victim
ACC-06752,suspect
VIC-3731,victim
VIC-3732,victim
ACC-02388,suspect
VIC-3733,victim
ACC-08449,suspect
VIC-3734,victim
ACC-05167,suspect
VIC-3735,victim
ACC-01099,suspect
VIC-3736,victim
ACC-07135,suspect
VIC-3737,victim
ACC-02585,suspect
VIC-3738,victim
VIC-3739,victim
ACC-08366,suspect
VIC-3740,victim
VIC-3741,victim
ACC-02846,suspect
VIC-3742,victim
ACC-08285,suspect
VIC-3743,victim
ACC-04969,suspect
VIC-3744,victim
ACC-07606,suspect
VIC-3745,victim
VIC-3746,victim
ACC-03339,suspect
VIC-3747,victim
VIC-3748,victim
ACC-07916,suspect
VIC-3749,victim
VIC-3750,victim
ACC-00487,suspect
VIC-3751,victim
ACC-00399,suspect
VIC-3752,victim
ACC-07420,suspect
VIC-3753,victim
ACC-00522,suspect
VIC-3754,victim
ACC-00193,suspect
VIC-3755,victim
ACC-02803,suspect
VIC-3756,victim
ACC-00240,suspect
VIC-3757,victim
ACC-07995,suspect
VIC-3758,victim
ACC-06532,suspect
VIC-3759,victim
ACC-01845,suspect
VIC-3760,victim
ACC-00061,suspect
VIC-3761,victim
ACC-08015,suspect
VIC-3762,victim
ACC-04499,suspect
VIC-3763,victim
VIC-3764,victim
ACC-00028,suspect
VIC-3765,victim
VIC-3766,victim
VIC-3767,victim
VIC-3768,victim
ACC-07727,suspect
VIC-3769,victim
VIC-3770,victim
ACC-06027,suspect
VIC-3771,victim
ACC-03796,suspect
VIC-3772,victim
VIC-3773,victim
ACC-02164,suspect
VIC-3774,victim
VIC-3775,victim
ACC-01763,suspect
VIC-3776,victim
VIC-3777,victim
ACC-02596,suspect
VIC-3778,victim
ACC-06508,suspect
VIC-3779,victim
VIC-3780,victim
ACC-00776,suspect
VIC-3781,victim
VIC-3782,victim
ACC-04181,suspect
VIC-3783,victim
ACC-05712,suspect
VIC-3784,victim
ACC-01217,suspect
VIC-3785,victim
ACC-07488,suspect
VIC-3786,victim
ACC-07887,suspect
VIC-3787,victim
ACC-08567,suspect
VIC-3788,victim
ACC-04659,suspect
VIC-3789,victim
ACC-07702,suspect
VIC-3790,victim
ACC-08012,suspect
VIC-3791,victim
ACC-01894,suspect
VIC-3792,victim
VIC-3793,victim
VIC-3794,victim
ACC-05757,suspect
VIC-3795,victim
ACC-03559,suspect
VIC-3796,victim
ACC-03692,suspect
VIC-3797,victim
ACC-08382,suspect
VIC-3798,victim
ACC-02418,suspect
VIC-3799,victim
VIC-3800,victim
ACC-00162,suspect
VIC-3801,victim
ACC-06159,suspect
VIC-3802,victim
VIC-3803,victim
ACC-08730,suspect
VIC-3804,victim
ACC-04941,suspect
VIC-3805,victim
ACC-05998,suspect
VIC-3806,victim
VIC-3807,victim
ACC-06601,suspect
VIC-3808,victim
ACC-01251,suspect
VIC-3809,victim
VIC-3810,victim
ACC-06139,suspect
VIC-3811,victim
ACC-07720,suspect
VIC-3812,victim
VIC-3813,victim
ACC-05308,suspect
VIC-3814,victim
VIC-3815,victim
ACC-01131,suspect
VIC-3816,victim
ACC-06412,suspect
VIC-3817,victim
ACC-00519,suspect
VIC-3818,victim
ACC-02914,suspect
VIC-3819,victim
VIC-3820,victim
VIC-3821,victim
VIC-3822,victim
VIC-3823,victim
ACC-03597,suspect
VIC-3824,victim
ACC-07674,suspect
VIC-3825,victim
ACC-00705,suspect
VIC-3826,victim
ACC-08162,suspect
VIC-3827,victim
ACC-01687,suspect
VIC-3828,victim
ACC-02400,suspect
VIC-3829,victim
VIC-3830,victim
VIC-3831,victim
ACC-06085,suspect
VIC-3832,victim
VIC-3833,victim
ACC-05374,suspect
VIC-3834,victim
ACC-03412,suspect
VIC-3835,victim
ACC-01164,suspect
VIC-3836,victim
VIC-3837,victim
ACC-03685,suspect
VIC-3838,victim
ACC-05505,suspect
VIC-3839,victim
VIC-3840,victim
ACC-00231,suspect
VIC-3841,victim
VIC-3842,victim
VIC-3843,victim
VIC-3844,victim
VIC-3845,victim
ACC-08762,suspect
VIC-3846,victim
ACC-06393,suspect
VIC-3847,victim
ACC-01959,suspect
VIC-3848,victim
VIC-3849,victim
ACC-06929,suspect
VIC-3850,victim
ACC-08980,suspect
VIC-3851,victim
VIC-3852,victim
ACC-03889,suspect
VIC-3853,victim
ACC-08477,suspect
VIC-3854,victim
VIC-3855,victim
ACC-06602,suspect
VIC-3856,victim
VIC-3857,victim
ACC-05658,suspect
VIC-3858,victim
ACC-03514,suspect
VIC-3859,victim
VIC-3860,victim
ACC-03427,suspect
VIC-3861,victim
ACC-04425,suspect
VIC-3862,victim
VIC-3863,victim
ACC-01528,suspect
VIC-3864,victim
ACC-04051,suspect
VIC-3865,victim
ACC-03221,suspect
VIC-3866,victim
ACC-05580,suspect
VIC-3867,victim
ACC-05403,suspect
VIC-3868,victim
ACC-02490,suspect
VIC-3869,victim
VIC-3870,victim
ACC-03941,suspect
VIC-3871,victim
ACC-04307,suspect
VIC-3872,victim
ACC-02437,suspect
VIC-3873,victim
ACC-03401,suspect
VIC-3874,victim
ACC-00107,suspect
VIC-3875,victim
VIC-3876,victim
VIC-3877,victim
ACC-00823,suspect
VIC-3878,victim
VIC-3879,victim
VIC-3880,victim
VIC-3881,victim
ACC-08882,suspect
VIC-3882,victim
ACC-03033,suspect
VIC-3883,victim
VIC-3884,victim
ACC-05447,suspect
VIC-3885,victim
VIC-3886,victim
VIC-3887,victim
ACC-05408,suspect
VIC-3888,victim
ACC-08475,suspect
VIC-3889,victim
ACC-06891,suspect
VIC-3890,victim
VIC-3891,victim
ACC-02572,suspect
VIC-3892,victim
ACC-03583,suspect
VIC-3893,victim
ACC-00728,suspect
VIC-3894,victim
VIC-3895,victim
ACC-08438,suspect
VIC-3896,victim
ACC-07924,suspect
VIC-3897,victim
ACC-08575,suspect
VIC-3898,victim
ACC-05175,suspect
VIC-3899,victim
ACC-02942,suspect
VIC-3900,victim
ACC-08559,suspect
VIC-3901,victim
ACC-02383,suspect
VIC-3902,victim
VIC-3903,victim
ACC-07865,suspect
VIC-3904,victim
ACC-07159,suspect
VIC-3905,victim
ACC-04271,suspect
VIC-3906,victim
ACC-04933,suspect
VIC-3907,victim
VIC-3908,victim
ACC-06853,suspect
VIC-3909,victim
VIC-3910,victim
ACC-05148,suspect
VIC-3911,victim
ACC-03117,suspect
VIC-3912,victim
ACC-05593,suspect
VIC-3913,victim
VIC-3914,victim
VIC-3915,victim
ACC-00555,suspect
VIC-3916,victim
VIC-3917,victim
ACC-02758,suspect
VIC-3918,victim
ACC-06843,suspect
VIC-3919,victim
ACC-04867,suspect
VIC-3920,victim
VIC-3921,victim
ACC-04501,suspect
VIC-3922,victim
ACC-02176,suspect
VIC-3923,victim
VIC-3924,victim
VIC-3925,victim
ACC-03931,suspect
VIC-3926,victim
ACC-04980,suspect
VIC-3927,victim
VIC-3928,victim
ACC-08447,suspect
VIC-3929,victim
ACC-08816,suspect
VIC-3930,victim
ACC-01988,suspect
VIC-3931,victim
ACC-05431,suspect
VIC-3932,victim
ACC-04150,suspect
VIC-3933,victim
ACC-08096,suspect
VIC-3934,victim
ACC-04868,suspect
VIC-3935,victim
VIC-3936,victim
VIC-3937,victim
ACC-04262,suspect
VIC-3938,victim
ACC-02551,suspect
VIC-3939,victim
ACC-08209,suspect
VIC-3940,victim
ACC-08497,suspect
VIC-3941,victim
ACC-08609,suspect
VIC-3942,victim
ACC-01737,suspect
VIC-3943,victim
ACC-02520,suspect
VIC-3944,victim
VIC-3945,victim
VIC-3946,victim
ACC-01018,suspect
VIC-3947,victim
VIC-3948,victim
ACC-07505,suspect
VIC-3949,victim
ACC-04255,suspect
VIC-3950,victim
ACC-02035,suspect
VIC-3951,victim
VIC-3952,victim
ACC-01075,suspect
VIC-3953,victim
VIC-3954,victim
ACC-01484,suspect
VIC-3955,victim
VIC-3956,victim
ACC-05044,suspect
VIC-3957,victim
ACC-07734,suspect
VIC-3958,victim
ACC-04895,suspect
VIC-3959,victim
VIC-3960,victim
ACC-05300,suspect
VIC-3961,victim
VIC-3962,victim
VIC-3963,victim
ACC-04917,suspect
VIC-3964,victim
ACC-00221,suspect
VIC-3965,victim
ACC-00410,suspect
VIC-3966,victim
ACC-01502,suspect
VIC-3967,victim
VIC-3968,victim
VIC-3969,victim
ACC-03048,suspect
VIC-3970,victim
VIC-3971,victim
ACC-05873,suspect
VIC-3972,victim
ACC-05412,suspect
VIC-3973,victim
ACC-08405,suspect
VIC-3974,victim
ACC-07280,suspect
VIC-3975,victim
ACC-04862,suspect
VIC-3976,victim
ACC-02158,suspect
VIC-3977,victim
VIC-3978,victim
VIC-3979,victim
VIC-3980,victim
VIC-3981,victim
VIC-3982,victim
VIC-3983,victim
ACC-07501,suspect
VIC-3984,victim
ACC-03171,suspect
VIC-3985,victim
ACC-06447,suspect
VIC-3986,victim
VIC-3987,victim
VIC-3988,victim
ACC-06357,suspect
VIC-3989,victim
VIC-3990,victim
ACC-02918,suspect
VIC-3991,victim
ACC-01994,suspect
VIC-3992,victim
ACC-02245,suspect
VIC-3993,victim
VIC-3994,victim
ACC-06966,suspect
VIC-3995,victim
ACC-02051,suspect
VIC-3996,victim
VIC-3997,victim
ACC-06167,suspect
VIC-3998,victim
ACC-04335,suspect
VIC-3999,victim
ACC-01324,suspect
VIC-4000,victim
ACC-00359,suspect
VIC-4001,victim
ACC-02452,suspect
VIC-4002,victim
VIC-4003,victim
ACC-02003,suspect
VIC-4004,victim
ACC-04691,suspect
VIC-4005,victim
VIC-4006,victim
ACC-03106,suspect
VIC-4007,victim
ACC-06024,suspect
VIC-4008,victim
VIC-4009,victim
ACC-00189,suspect
VIC-4010,victim
ACC-03590,suspect
VIC-4011,victim
VIC-4012,victim
ACC-00720,suspect
VIC-4013,victim
VIC-4014,victim
ACC-08652,suspect
VIC-4015,victim
VIC-4016,victim
VIC-4017,victim
VIC-4018,victim
ACC-07104,suspect
VIC-4019,victim
ACC-00504,suspect
VIC-4020,victim
ACC-00855,suspect
VIC-4021,victim
ACC-02943,suspect
VIC-4022,victim
ACC-08914,suspect
VIC-4023,victim
VIC-4024,victim
ACC-06608,suspect
VIC-4025,victim
ACC-04093,suspect
VIC-4026,victim
ACC-02297,suspect
VIC-4027,victim
ACC-03803,suspect
VIC-4028,victim
VIC-4029,victim
VIC-4030,victim
VIC-4031,victim
ACC-04351,suspect
VIC-4032,victim
ACC-08861,suspect
VIC-4033,victim
VIC-4034,victim
ACC-00152,suspect
VIC-4035,victim
ACC-01677,suspect
VIC-4036,victim
VIC-4037,victim
ACC-02915,suspect
VIC-4038,victim
ACC-05255,suspect
VIC-4039,victim
ACC-03914,suspect
VIC-4040,victim
VIC-4041,victim
ACC-05289,suspect
VIC-4042,victim
ACC-02607,suspect
VIC-4043,victim
VIC-4044,victim
VIC-4045,victim
ACC-08093,suspect
VIC-4046,victim
ACC-05386,suspect
VIC-4047,victim
ACC-06745,suspect
VIC-4048,victim
ACC-08537,suspect
VIC-4049,victim
ACC-02531,suspect
VIC-4050,victim
ACC-00254,suspect
VIC-4051,victim
VIC-4052,victim
VIC-4053,victim
ACC-01101,suspect
VIC-4054,victim
ACC-02865,suspect
VIC-4055,victim
VIC-4056,victim
ACC-02289,suspect
VIC-4057,victim
ACC-02084,suspect
VIC-4058,victim
VIC-4059,victim
ACC-06859,suspect
VIC-4060,victim
ACC-07342,suspect
VIC-4061,victim
ACC-06789,suspect
VIC-4062,victim
VIC-4063,victim
VIC-4064,victim
ACC-08399,suspect
VIC-4065,victim
ACC-03787,suspect
VIC-4066,victim
VIC-4067,victim
ACC-03096,suspect
VIC-4068,victim
ACC-05288,suspect
VIC-4069,victim
ACC-02583,suspect
VIC-4070,victim
ACC-05063,suspect
VIC-4071,victim
VIC-4072,victim
VIC-4073,victim
VIC-4074,victim
ACC-04591,suspect
VIC-4075,victim
VIC-4076,victim
VIC-4077,victim
VIC-4078,victim
ACC-04676,suspect
VIC-4079,victim
ACC-04957,suspect
VIC-4080,victim
ACC-05396,suspect
VIC-4081,victim
ACC-07826,suspect
VIC-4082,victim
VIC-4083,victim
VIC-4084,victim
ACC-07607,suspect
VIC-4085,victim
VIC-4086,victim
ACC-05236,suspect
VIC-4087,victim
ACC-02277,suspect
VIC-4088,victim
ACC-02576,suspect
VIC-4089,victim
VIC-4090,victim
VIC-4091,victim
VIC-4092,victim
ACC-02614,suspect
VIC-4093,victim
ACC-01532,suspect
VIC-4094,victim
ACC-00148,suspect
VIC-4095,victim
ACC-04362,suspect
VIC-4096,victim
VIC-4097,victim
ACC-06681,suspect
VIC-4098,victim
ACC-05045,suspect
VIC-4099,victim
ACC-01665,suspect
VIC-4100,victim
ACC-02936,suspect
VIC-4101,victim
VIC-4102,victim
VIC-4103,victim
VIC-4104,victim
VIC-4105,victim
ACC-02337,suspect
VIC-4106,victim
VIC-4107,victim
ACC-01110,suspect
VIC-4108,victim
ACC-00612,suspect
VIC-4109,victim
VIC-4110,victim
VIC-4111,victim
ACC-05957,suspect
VIC-4112,victim
VIC-4113,victim
ACC-00119,suspect
VIC-4114,victim
VIC-4115,victim
ACC-07975,suspect
VIC-4116,victim
VIC-4117,victim
VIC-4118,victim
VIC-4119,victim
VIC-4120,victim
VIC-4121,victim
ACC-06522,suspect
VIC-4122,victim
ACC-04556,suspect
VIC-4123,victim
ACC-00634,suspect
VIC-4124,victim
VIC-4125,victim
VIC-4126,victim
ACC-02384,suspect
VIC-4127,victim
VIC-4128,victim
ACC-01308,suspect
VIC-4129,victim
VIC-4130,victim
ACC-08269,suspect
VIC-4131,victim
ACC-00149,suspect
VIC-4132,victim
ACC-03232,suspect
VIC-4133,victim
ACC-08055,suspect
VIC-4134,victim
ACC-06073,suspect
VIC-4135,victim
VIC-4136,victim
ACC-01317,suspect
VIC-4137,victim
VIC-4138,victim
VIC-4139,victim
VIC-4140,victim
ACC-03459,suspect
VIC-4141,victim
VIC-4142,victim
ACC-08250,suspect
VIC-4143,victim
ACC-08510,suspect
VIC-4144,victim
VIC-4145,victim
ACC-06697,suspect
VIC-4146,victim
VIC-4147,victim
ACC-07960,suspect
VIC-4148,victim
ACC-06075,suspect
VIC-4149,victim
ACC-05976,suspect
VIC-4150,victim
VIC-4151,victim
VIC-4152,victim
VIC-4153,victim
VIC-4154,victim
ACC-05824,suspect
VIC-4155,victim
VIC-4156,victim
VIC-4157,victim
VIC-4158,victim
ACC-05548,suspect
VIC-4159,victim
VIC-4160,victim
VIC-4161,victim
ACC-04661,suspect
VIC-4162,victim
VIC-4163,victim
VIC-4164,victim
VIC-4165,victim
ACC-01535,suspect
VIC-4166,victim
ACC-06999,suspect
VIC-4167,victim
ACC-00682,suspect
VIC-4168,victim
ACC-07882,suspect
VIC-4169,victim
ACC-02492,suspect
VIC-4170,victim
VIC-4171,victim
ACC-04712,suspect
VIC-4172,victim
VIC-4173,victim
VIC-4174,victim
ACC-03823,suspect
VIC-4175,victim
ACC-02800,suspect
VIC-4176,victim
ACC-07647,suspect
VIC-4177,victim
ACC-08659,suspect
VIC-4178,victim
ACC-05422,suspect
VIC-4179,victim
VIC-4180,victim
VIC-4181,victim
ACC-00548,suspect
VIC-4182,victim
ACC-01690,suspect
VIC-4183,victim
VIC-4184,victim
VIC-4185,victim
ACC-01887,suspect
VIC-4186,victim
VIC-4187,victim
ACC-08793,suspect
VIC-4188,victim
VIC-4189,victim
VIC-4190,victim
VIC-4191,victim
VIC-4192,victim
VIC-4193,victim
ACC-06065,suspect
VIC-4194,victim
VIC-4195,victim
ACC-03030,suspect
VIC-4196,victim
ACC-08722,suspect
VIC-4197,victim
VIC-4198,victim
ACC-03489,suspect
VIC-4199,victim
ACC-02319,suspect
VIC-4200,victim
ACC-05067,suspect
VIC-4201,victim
ACC-03321,suspect
VIC-4202,victim
VIC-4203,victim
VIC-4204,victim
ACC-08188,suspect
VIC-4205,victim
ACC-03835,suspect
VIC-4206,victim
VIC-4207,victim
ACC-03224,suspect
VIC-4208,victim
ACC-08753,suspect
VIC-4209,victim
ACC-01976,suspect
VIC-4210,victim
ACC-04954,suspect
VIC-4211,victim
VIC-4212,victim
ACC-02646,suspect
VIC-4213,victim
VIC-4214,victim
ACC-01911,suspect
VIC-4215,victim
ACC-08351,suspect
VIC-4216,victim
VIC-4217,victim
ACC-02448,suspect
VIC-4218,victim
ACC-05407,suspect
VIC-4219,victim
VIC-4220,victim
ACC-02839,suspect
VIC-4221,victim
VIC-4222,victim
ACC-00420,suspect
VIC-4223,victim
ACC-08031,suspect
VIC-4224,victim
ACC-00354,suspect
VIC-4225,victim
ACC-05546,suspect
VIC-4226,victim
ACC-01926,suspect
VIC-4227,victim
ACC-05722,suspect
VIC-4228,victim
ACC-03649,suspect
VIC-4229,victim
ACC-06116,suspect
VIC-4230,victim
ACC-07946,suspect
VIC-4231,victim
ACC-08898,suspect
VIC-4232,victim
ACC-05376,suspect
VIC-4233,victim
VIC-4234,victim
ACC-05462,suspect
VIC-4235,victim
VIC-4236,victim
ACC-00036,suspect
VIC-4237,victim
VIC-4238,victim
ACC-00764,suspect
VIC-4239,victim
ACC-05268,suspect
VIC-4240,victim
ACC-02937,suspect
VIC-4241,victim
ACC-07211,suspect
VIC-4242,victim
ACC-01303,suspect
VIC-4243,victim
ACC-03430,suspect
VIC-4244,victim
ACC-06411,suspect
VIC-4245,victim
VIC-4246,victim
VIC-4247,victim
VIC-4248,victim
ACC-07742,suspect
VIC-4249,victim
ACC-02293,suspect
VIC-4250,victim
VIC-4251,victim
VIC-4252,victim
ACC-04075,suspect
VIC-4253,victim
ACC-05371,suspect
VIC-4254,victim
VIC-4255,victim
VIC-4256,victim
ACC-04727,suspect
VIC-4257,victim
ACC-05926,suspect
VIC-4258,victim
ACC-01044,suspect
VIC-4259,victim
ACC-01430,suspect
VIC-4260,victim
ACC-01160,suspect
VIC-4261,victim
ACC-02244,suspect
VIC-4262,victim
VIC-4263,victim
VIC-4264,victim
ACC-02747,suspect
VIC-4265,victim
VIC-4266,victim
ACC-04826,suspect
VIC-4267,victim
VIC-4268,victim
VIC-4269,victim
ACC-03126,suspect
VIC-4270,victim
ACC-07016,suspect
VIC-4271,victim
VIC-4272,victim
ACC-04388,suspect
VIC-4273,victim
ACC-08822,suspect
VIC-4274,victim
ACC-07747,suspect
VIC-4275,victim
ACC-05244,suspect
VIC-4276,victim
VIC-4277,victim
ACC-05810,suspect
VIC-4278,victim
VIC-4279,victim
ACC-07690,suspect
VIC-4280,victim
ACC-00294,suspect
VIC-4281,victim
VIC-4282,victim
VIC-4283,victim
ACC-00774,suspect
VIC-4284,victim
ACC-05740,suspect
VIC-4285,victim
VIC-4286,victim
ACC-04552,suspect
VIC-4287,victim
VIC-4288,victim
VIC-4289,victim
VIC-4290,victim
ACC-05512,suspect
VIC-4291,victim
ACC-06401,suspect
VIC-4292,victim
VIC-4293,victim
ACC-08985,suspect
VIC-4294,victim
ACC-08599,suspect
VIC-4295,victim
VIC-4296,victim
ACC-06674,suspect
VIC-4297,victim
ACC-00064,suspect
VIC-4298,victim
VIC-4299,victim
VIC-4300,victim
ACC-07893,suspect
VIC-4301,victim
ACC-06692,suspect
VIC-4302,victim
VIC-4303,victim
ACC-06955,suspect
VIC-4304,victim
ACC-00088,suspect
VIC-4305,victim
VIC-4306,victim
ACC-06301,suspect
VIC-4307,victim
VIC-4308,victim
VIC-4309,victim
VIC-4310,victim
ACC-01015,suspect
VIC-4311,victim
ACC-08152,suspect
VIC-4312,victim
ACC-04345,suspect
VIC-4313,victim
VIC-4314,victim
VIC-4315,victim
VIC-4316,victim
VIC-4317,victim
ACC-00081,suspect
VIC-4318,victim
VIC-4319,victim
ACC-07591,suspect
VIC-4320,victim
ACC-06450,suspect
VIC-4321,victim
ACC-07973,suspect
VIC-4322,victim
ACC-02334,suspect
VIC-4323,victim
VIC-4324,victim
ACC-00225,suspect
VIC-4325,victim
VIC-4326,victim
ACC-00889,suspect
VIC-4327,victim
VIC-4328,victim
ACC-08775,suspect
VIC-4329,victim
ACC-01660,suspect
VIC-4330,victim
ACC-06683,suspect
VIC-4331,victim
VIC-4332,victim
ACC-07703,suspect
VIC-4333,victim
VIC-4334,victim
VIC-4335,victim
ACC-08471,suspect
VIC-4336,victim
VIC-4337,victim
VIC-4338,victim
VIC-4339,victim
VIC-4340,victim
VIC-4341,victim
ACC-03822,suspect
VIC-4342,victim
VIC-4343,victim
ACC-03192,suspect
VIC-4344,victim
ACC-03231,suspect
VIC-4345,victim
ACC-06896,suspect
VIC-4346,victim
ACC-07934,suspect
VIC-4347,victim
ACC-07541,suspect
VIC-4348,victim
VIC-4349,victim
VIC-4350,victim
ACC-05024,suspect
VIC-4351,victim
ACC-05715,suspect
VIC-4352,victim
ACC-04911,suspect
VIC-4353,victim
ACC-06500,suspect
VIC-4354,victim
ACC-08025,suspect
VIC-4355,victim
ACC-01833,suspect
VIC-4356,victim
VIC-4357,victim
ACC-00323,suspect
VIC-4358,victim
ACC-02822,suspect
VIC-4359,victim
ACC-04899,suspect
VIC-4360,victim
ACC-02682,suspect
VIC-4361,victim
ACC-08812,suspect
VIC-4362,victim
ACC-03083,suspect
VIC-4363,victim
VIC-4364,victim
ACC-04022,suspect
VIC-4365,victim
ACC-07142,suspect
VIC-4366,victim
VIC-4367,victim
VIC-4368,victim
VIC-4369,victim
ACC-04689,suspect
VIC-4370,victim
VIC-4371,victim
VIC-4372,victim
ACC-03793,suspect
VIC-4373,victim
ACC-02639,suspect
VIC-4374,victim
ACC-06103,suspect
VIC-4375,victim
ACC-05210,suspect
VIC-4376,victim
ACC-03315,suspect
VIC-4377,victim
ACC-01274,suspect
VIC-4378,victim
VIC-4379,victim
VIC-4380,victim
ACC-05670,suspect
VIC-4381,victim
ACC-08636,suspect
VIC-4382,victim
VIC-4383,victim
ACC-03052,suspect
VIC-4384,victim
VIC-4385,victim
VIC-4386,victim
VIC-4387,victim
VIC-4388,victim
ACC-02787,suspect
VIC-4389,victim
VIC-4390,victim
ACC-08054,suspect
VIC-4391,victim
VIC-4392,victim
ACC-04239,suspect
VIC-4393,victim
VIC-4394,victim
VIC-4395,victim
ACC-02518,suspect
VIC-4396,victim
ACC-05845,suspect
VIC-4397,victim
VIC-4398,victim
ACC-01339,suspect
VIC-4399,victim
ACC-07616,suspect
VIC-4400,victim
ACC-04089,suspect
VIC-4401,victim
ACC-08195,suspect
VIC-4402,victim
ACC-07363,suspect
VIC-4403,victim
ACC-08062,suspect
VIC-4404,victim
ACC-07096,suspect
VIC-4405,victim
ACC-06064,suspect
VIC-4406,victim
ACC-02533,suspect
VIC-4407,victim
ACC-07184,suspect
VIC-4408,victim
ACC-03404,suspect
VIC-4409,victim
ACC-04035,suspect
VIC-4410,victim
VIC-4411,victim
VIC-4412,victim
ACC-08905,suspect
VIC-4413,victim
ACC-01670,suspect
VIC-4414,victim
ACC-02781,suspect
VIC-4415,victim
ACC-04448,suspect
VIC-4416,victim
VIC-4417,victim
VIC-4418,victim
ACC-07684,suspect
VIC-4419,victim
ACC-04698,suspect
VIC-4420,victim
ACC-08640,suspect
VIC-4421,victim
VIC-4422,victim
ACC-06807,suspect
VIC-4423,victim
ACC-08377,suspect
VIC-4424,victim
VIC-4425,victim
VIC-4426,victim
ACC-03524,suspect
VIC-4427,victim
ACC-02884,suspect
VIC-4428,victim
ACC-04104,suspect
VIC-4429,victim
ACC-01617,suspect
VIC-4430,victim
ACC-05614,suspect
VIC-4431,victim
ACC-00772,suspect
VIC-4432,victim
VIC-4433,victim
ACC-07624,suspect
VIC-4434,victim
VIC-4435,victim
VIC-4436,victim
